Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Original Air Date,Industry,Business Description,Pitchers Gender,US Viewership,Original Ask Amount,Original Offered Equity,Valuation Requested,Got Deal,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of Sharks in Deal,Investment Amount Per Shark,Equity Per Shark,Royalty Deal,Barbara Corcoran Investment Amount,Barbara Corcoran Investment Equity,Mark Cuban Investment Amount,Mark Cuban Investment Equity,Lori Greiner Investment Amount,Lori Greiner Investment Equity,Robert Herjavec Investment Amount,Robert Herjavec Investment Equity,Daymond John Investment Amount,Daymond John Investment Equity,Kevin O Leary Investment Amount,Kevin O Leary Investment Equity,Guest Investment Amount,Guest Investment Equity,Guest Name,Barbara Corcoran Present,Mark Cuban Present,Lori Greiner Present,Robert Herjavec Present,Daymond John Present,Kevin O Leary Present,Guest Present,Has_Website,Barbara Corcoran Got Deal,Mark Cuban Got Deal,Lori Greiner Got Deal,Robert Herjavec Got Deal,Daymond John Got Deal,Kevin O Leary Got Deal
13,LiberateStudio,9,1126,2021-10-08,2021-12-17,Health/Wellness,Mental health fitness classes,Female,3.67,200000,10.0,2000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0
13,Tenikle,9,1127,2021-10-08,2021-12-17,Lifestyle/Home,Suction tripod and mount,Male,3.67,200000,10.0,2000000,1,200000.0,30.0,666667.0,1.0,200000.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,30.0,0.0,0.0,0.0,0.0,NA,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,0,1,0
13,Snactiv,10,1128,2021-10-08,2022-01-07,Lifestyle/Home,Mess-free snacking tool,Male,4.59,200000,10.0,2000000,1,200000.0,20.0,1000000.0,2.0,100000.0,10.0,0.0,0.0,0.0,0.0,0.0,100000.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,10.0,Kevin Hart,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0
13,SmartTireCompany,10,1129,2021-10-08,2022-01-07,Automotive,High-performance airless tires,Male,4.59,500000,2.5,20000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
13,Candi,10,1130,2021-10-08,2022-01-07,Software/Tech,Personal celebrity video chats,Mixed Team,4.59,500000,15.0,3333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
13,BlackSandsEntertainment,10,1131,2021-10-08,2022-01-07,Media/Entertainment,"Culturally diverse comics, animations, and other media",Mixed Team,4.59,500000,5.0,10000000,1,500000.0,30.0,1666667.0,2.0,250000.0,15.0,0.0,0.0,0.0,250000.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,15.0,Kevin Hart,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0
13,VaBroom,11,1132,2021-10-08,2022-01-14,Lifestyle/Home,Broom that is also a vacuum,Male,3.85,350000,2.5,14000000,1,350000.0,2.5,14000000.0,1.0,350000.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350000.0,2.5,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,1
13,MustLove,11,1133,2021-10-08,2022-01-14,Food and Beverage,Plant-based vegan ice cream alternative,Female,3.85,600000,7.5,8000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0
13,Romperjack,11,1134,2021-10-08,2022-01-14,Fashion/Beauty,Men’s rompers,Male,3.85,200000,5.0,4000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0
13,RoqInnovation,11,1135,2021-10-08,2022-01-14,Lifestyle/Home,Innovative hats with lights,Female,3.85,200000,15.0,1333333,1,200000.0,20.0,1000000.0,2.0,100000.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,10.0,100000.0,10.0,Peter Jones,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,1
